"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.651748458E0,1.850730896E1,-3.936145782E0,-4.582247925E1,4.957532988E1
1.661807458E0,1.856796265E1,-3.970333099E0,-4.594769287E1,4.971642849E1
1.671865458E0,1.868038940E1,-4.228519440E0,-4.572210693E1,4.957164903E1
1.681924458E0,1.884761047E1,-4.279407501E0,-4.595025635E1,4.984949155E1
1.691982458E0,1.910826111E1,-4.134471893E0,-4.648065186E1,5.042489958E1
1.702041458E0,1.898736572E1,-4.007434845E0,-4.623162842E1,5.013923670E1
1.712100458E0,1.904130554E1,-4.276935577E0,-4.597598267E1,4.994651616E1
1.722158458E0,1.915373230E1,-4.198150635E0,-4.633489990E1,5.031314817E1
1.732217458E0,1.921073914E1,-4.597610474E0,-4.647863770E1,5.050202256E1
1.742275458E0,1.890307617E1,-4.693790436E0,-4.652609253E1,5.043843022E1
1.752334458E0,1.925518799E1,-4.682510376E0,-4.637069702E1,5.042746980E1
1.762392458E0,1.904333496E1,-4.934844971E0,-4.638278198E1,5.038217706E1
1.772451458E0,1.885319519E1,-4.614799500E0,-4.663363647E1,5.051173521E1
1.782509458E0,1.862257385E1,-4.805355072E0,-4.655444336E1,5.037070469E1
1.792568458E0,1.867707825E1,-4.847820282E0,-4.672039795E1,5.054829570E1
1.802626458E0,1.855584717E1,-4.868900299E0,-4.708822632E1,5.084610813E1
1.812685458E0,1.804637146E1,-5.023433685E0,-4.711410522E1,5.070153173E1
1.822744458E0,1.810282898E1,-5.252475739E0,-4.694555664E1,5.058839992E1
1.832802458E0,1.794506836E1,-5.215324402E0,-4.716165161E1,5.072914813E1
1.842861458E0,1.753439331E1,-5.088039398E0,-4.682760620E1,5.026099677E1
1.852919458E0,1.720989990E1,-4.834671021E0,-4.748757935E1,5.074076163E1
1.862978458E0,1.702490234E1,-4.829387665E0,-4.733871460E1,5.053834371E1
1.873036458E0,1.690620422E1,-4.760532379E0,-4.729940796E1,5.045509293E1
1.883095458E0,1.677915955E1,-4.789020538E0,-4.727523804E1,5.039268840E1
1.893153458E0,1.654856873E1,-4.711425781E0,-4.758551025E1,5.060072574E1
1.903212458E0,1.638397217E1,-4.761497498E0,-4.788183594E1,5.083086282E1
1.913270458E0,1.632580566E1,-5.034130096E0,-4.777426147E1,5.073711123E1
1.923329458E0,1.666186523E1,-5.193778992E0,-4.774655151E1,5.083626928E1
1.933388458E0,1.696015930E1,-5.431591034E0,-4.756878662E1,5.079309643E1
1.943446458E0,1.708010864E1,-5.719120026E0,-4.694741821E1,5.028417765E1
1.953505458E0,1.740190125E1,-5.771656036E0,-4.723934937E1,5.067242158E1
1.963563458E0,1.759870911E1,-5.919738770E0,-4.689398193E1,5.043613200E1
1.973622458E0,1.800082397E1,-6.310016632E0,-4.680413818E1,5.054179780E1
1.983680458E0,1.794816589E1,-6.233089447E0,-4.667623901E1,5.039503300E1
1.993739458E0,1.794093323E1,-6.723373413E0,-4.626855469E1,5.007853820E1
2.003797458E0,1.793536377E1,-7.149444580E0,-4.646511841E1,5.031698580E1
2.013856458E0,1.788418579E1,-7.266727448E0,-4.677066040E1,5.059786659E1
2.023914458E0,1.760580444E1,-7.687362671E0,-4.675842285E1,5.055106332E1
2.033973458E0,1.719140625E1,-7.715709686E0,-4.691293335E1,5.055590905E1
2.044032458E0,1.671592712E1,-7.690147400E0,-4.706982422E1,5.053839074E1
2.054090458E0,1.642445374E1,-7.413890839E0,-4.713983154E1,5.046674326E1
2.064149458E0,1.658334351E1,-7.204536438E0,-4.720645142E1,5.055058538E1
2.074207458E0,1.652429199E1,-7.585052490E0,-4.723770142E1,5.061606150E1
2.084266458E0,1.631208801E1,-7.709220886E0,-4.718179321E1,5.051373984E1
2.094324458E0,1.566203308E1,-7.867912292E0,-4.742605591E1,5.056119167E1
2.104383458E0,1.530348206E1,-7.538692474E0,-4.737805176E1,5.035581630E1
2.114441458E0,1.460086060E1,-7.423793793E0,-4.758184814E1,5.032226264E1
2.124500458E0,1.429579163E1,-7.278579712E0,-4.770169067E1,5.032691799E1
2.134559458E0,1.404190063E1,-7.383426666E0,-4.759469604E1,5.016916438E1
2.144617458E0,1.384689331E1,-7.392494202E0,-4.764089966E1,5.016015097E1
2.154676458E0,1.398721313E1,-7.426284790E0,-4.760342407E1,5.016849430E1
2.164734458E0,1.355125427E1,-7.027599335E0,-4.781256104E1,5.019028429E1
2.174793458E0,1.395436096E1,-7.090293884E0,-4.807086182E1,5.055496230E1
2.184851458E0,1.425958252E1,-6.840957642E0,-4.814761353E1,5.067866497E1
2.194910458E0,1.469377136E1,-6.998855591E0,-4.773428345E1,5.043265522E1
2.204968458E0,1.478010559E1,-6.791362762E0,-4.767019653E1,5.036885711E1
2.215027000E0,1.534239197E1,-6.592750549E0,-4.737155151E1,5.022864963E1
2.225085000E0,1.531564331E1,-6.384403229E0,-4.750622559E1,5.032068167E1
2.235144000E0,1.590853882E1,-6.372688293E0,-4.717901611E1,5.019514244E1
2.245203000E0,1.612590027E1,-6.046184540E0,-4.713949585E1,5.018698114E1
2.255261000E0,1.620713806E1,-6.272693634E0,-4.692123413E1,5.003618912E1
