"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.026664417E0,1.701625061E1,-3.181804657E1,-4.000329590E1,5.387211296E1
1.036722417E0,1.735481262E1,-3.196405411E1,-4.013851929E1,5.416632724E1
1.046781417E0,1.753981018E1,-3.194652176E1,-3.999575806E1,5.410994230E1
1.056840417E0,1.737255859E1,-3.201491928E1,-4.016213989E1,5.421953826E1
1.066899417E0,1.756581116E1,-3.198630142E1,-4.013076782E1,5.424167887E1
1.076958417E0,1.768684387E1,-3.210913467E1,-3.990667725E1,5.418822625E1
1.087017417E0,1.781863403E1,-3.212205505E1,-3.984170532E1,5.419125043E1
1.097076417E0,1.776365662E1,-3.225156403E1,-4.015130615E1,5.447786949E1
1.107135417E0,1.749151611E1,-3.204969025E1,-4.033508301E1,5.440638475E1
1.117194417E0,1.745610046E1,-3.219970322E1,-4.024447632E1,5.441648835E1
1.127253417E0,1.761291504E1,-3.188555527E1,-4.058325195E1,5.453351034E1
1.137312417E0,1.760269165E1,-3.192486572E1,-4.058035278E1,5.455104799E1
1.147371417E0,1.757138062E1,-3.166667938E1,-4.013534546E1,5.405902288E1
1.157430417E0,1.768861389E1,-3.156377029E1,-4.007360840E1,5.399122842E1
1.167489417E0,1.775822449E1,-3.167269897E1,-4.045776367E1,5.436308526E1
1.177547417E0,1.780863953E1,-3.168382263E1,-4.039321899E1,5.433805664E1
1.187606417E0,1.800628662E1,-3.115913391E1,-4.049612427E1,5.417613926E1
1.197665417E0,1.790653992E1,-3.108748245E1,-4.095849609E1,5.444882128E1
1.207724417E0,1.793162537E1,-3.104224396E1,-4.072250366E1,5.425390680E1
1.217783417E0,1.792677307E1,-3.067643356E1,-4.051596069E1,5.388836461E1
1.227842417E0,1.777510071E1,-3.070653152E1,-4.079022217E1,5.406188591E1
1.237901417E0,1.746507263E1,-3.089559555E1,-4.062594604E1,5.394473170E1
1.247960417E0,1.756105042E1,-3.082888031E1,-4.070285034E1,5.399567000E1
1.258019417E0,1.775138855E1,-3.076680756E1,-4.052899170E1,5.389162654E1
1.268078417E0,1.764698792E1,-3.092641449E1,-4.075854492E1,5.412132925E1
1.278137417E0,1.781427002E1,-3.096308517E1,-4.088299561E1,5.429070076E1
1.288196417E0,1.786550903E1,-3.071867752E1,-4.100613403E1,5.426155720E1
1.298255417E0,1.785021973E1,-3.049934006E1,-4.116046143E1,5.424964215E1
1.308313417E0,1.774989319E1,-3.068410873E1,-4.122549438E1,5.437016300E1
1.318372417E0,1.790447998E1,-3.041961670E1,-4.089733887E1,5.402328951E1
1.328431417E0,1.784059143E1,-3.001699066E1,-4.078918457E1,5.369417109E1
1.338490417E0,1.788269043E1,-3.006057358E1,-4.130969238E1,5.412872976E1
1.348549417E0,1.775595093E1,-3.001507950E1,-4.138705444E1,5.412085611E1
1.358608417E0,1.810412598E1,-2.966753387E1,-4.084201050E1,5.362827393E1
1.368667417E0,1.816854858E1,-2.969897842E1,-4.096139526E1,5.375836102E1
1.378726417E0,1.830497742E1,-2.993874359E1,-4.085021973E1,5.385295737E1
1.388785417E0,1.841207886E1,-2.976770782E1,-4.104342651E1,5.394148623E1
1.398844417E0,1.849502563E1,-2.965029907E1,-4.079159546E1,5.371368977E1
1.408903417E0,1.886045837E1,-2.981443024E1,-4.069082642E1,5.385499508E1
1.418962417E0,1.882415771E1,-2.948516464E1,-4.077072144E1,5.372127673E1
1.429021417E0,1.903431702E1,-2.963894272E1,-4.047482300E1,5.365615945E1
1.439080417E0,1.879225159E1,-2.962577057E1,-4.104840088E1,5.399820568E1
1.449138417E0,1.868811035E1,-2.969023514E1,-4.111761475E1,5.405010429E1
1.459197417E0,1.864820862E1,-2.960299301E1,-4.137759399E1,5.418669730E1
1.469256417E0,1.867166138E1,-2.953592682E1,-4.110412598E1,5.394952348E1
